name,city,country,IATA,ICAO,lat,lon,timezone
Lethbridge County ,Lethbridge,Canada,YQL,CYQL,49.6302986145,-112.800003052,-7
Greater Moncton Intl ,Moncton,Canada,YQM,CYQM,46.11220169067383,-64.67859649658203,-4
Comox ,Comox,Canada,YQQ,CYQQ,49.71080017089844,-124.88700103759766,-8
Regina Intl ,Regina,Canada,YQR,CYQR,50.43190002441406,-104.66600036621094,-6
Thunder Bay ,Thunder Bay,Canada,YQT,CYQT,48.37189865112305,-89.32389831542969,-5
Grande Prairie ,Grande Prairie,Canada,YQU,CYQU,55.1796989441,-118.885002136,-7
Yorkton Municipal ,Yorkton,Canada,YQV,CYQV,51.26470184326172,-102.46199798583984,-6
North Battleford ,North Battleford,Canada,YQW,CYQW,52.76919937133789,-108.24400329589844,-6
Gander Intl ,Gander,Canada,YQX,CYQX,48.9369010925293,-54.56809997558594,-3.5
Sydney / J.A. Douglas McCurdy ,Sydney,Canada,YQY,CYQY,46.1614,-60.047798,-4
Quesnel ,Quesnel,Canada,YQZ,CYQZ,53.026100158691406,-122.51000213623047,-8
Resolute Bay ,Resolute,Canada,YRB,CYRB,74.7169036865,-94.9693984985,-6
Rivière-du-Loup ,Riviere Du Loup,Canada,YRI,CYRI,47.764400482177734,-69.58470153808594,-5
Roberval ,Roberval,Canada,YRJ,CYRJ,48.52000045776367,-72.2656021118164,-5
Rocky Mountain House ,Rocky Mountain House,Canada,YRM,CYRM,52.4296989441,-114.903999329,-7
Rankin Inlet ,Rankin Inlet,Canada,YRT,CYRT,62.8114013672,-92.1157989502,-6
Sudbury ,Sudbury,Canada,YSB,CYSB,46.625,-80.79889678955078,-5
Sherbrooke ,Sherbrooke,Canada,YSC,CYSC,45.4385986328125,-71.69139862060547,-5
Saint John ,St. John,Canada,YSJ,CYSJ,45.31610107421875,-65.89029693603516,-4
Fort Smith ,Fort Smith,Canada,YSM,CYSM,60.020301818847656,-111.96199798583984,-7
Nanisivik ,Nanisivik,Canada,YSR,CYSR,72.982201,-84.613602,-5
